full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,57,59,ar
حلوف وحياة سعد,لبنان,0,0,0,0,ar
علوش عن جبران باسيل المُنافق والمفتن والمفلسlebanon24,"Beirut, Lebanon",0,0,0,0,ar
الهند تتحدى شركة فايزر لإجراء تجربة سريرية على لقاح كوروناشركة فايزر ألغت وأسقطت الطلب على إذن استخدام الطوارئ للقا,unknown,1,2,45,82,ar
"هذا ردّ مكتب إعلام رئيس حكومة مكلّف تشكيل حكومة تُعنى أوّلاً إنتشال لبنان من الإنهيار؟من ناحية أخرى، هذا مكتب إعلام ر",unknown,0,4,1,9,ar
"covid19 ماراح فقيدك الله يرحمه، ما له داعي تفقد أكثر استقبل التعازي بالتلفوننتعاونمانتهاونسلامتكبيدك http",unknown,0,0,19,39,ar
علوش جبران ذو الثلاثة اوجه المنافق والمفتن والمفلس lbcinews,unknown,1,9,1,12,ar
حايك شتان بين قامات نذرت نفسها فداء للوطن وبين أجساد تحاول أن تفتدي بالوطن من أجل مصالحها الضيقة o o,Lebanon,0,0,0,0,ar
تحالف الشر لابادة الشعوب العربية وارهابهالا يصدق كدبهم الا المهاجرين والمرتزقةusabritainfrancechina israelilebanonmarocmoroccoيحدثالآنعاجلالكويتالمغربالرباطمراكشمصرلبنانسورياالاردنالعراقتونسليبياموريتانيا,South Arabia,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,58,60,ar
حبّيتتت رسميًا طلّعن من تيابن جبرانكلمتوكلمة,unknown,0,0,0,0,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,unknown,0,0,1,0,ar
أكثر من ألف وستمائة حالة شفاء من فيروس كورونا في الأردن اليوم وارتفعت عدد الإصابات بفيروس كورونا اليوم إلى 3917 إصابة جديدة مسجلة وبفارق 1717 إصابة عن العدد المعلن عنه البارحةخليكبالبيت خليكفيالبيت الاردنكوروناstayhome coronavirus covid19,Amman,0,0,0,0,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,Riyadh,0,0,2,1,ar
صرنا بال٢٠٢١ و ما في كهربا ببلاد برا صاروا يطلعوا كهربا من الخرا و هون بعدنا عالشمعة lebanon,unknown,0,0,0,0,ar
"أعلن رئيس الوزراء الكوري أن كوريا الجنوبية ستبدأ في إعطاء أول دفعة من 117 ألف جرعة من لقاح pfizer ضد فيروس كورونا في 27 فبراير، أي بعد يوم من بدء البلاد في أول التطعيمات بمنتجات astrazeneca، وتدعو الخطة إلى تلقيح حوالي 10 ملايين شخص المعرضين لخطر كبير بحلول يوليو",unknown,0,0,0,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر","Riyadh, Kingdom of Saudi Arabia",1,6,28,54,ar
ربنا يستر  على بعثة النادى الاهلى ويرجعوا سالمين ازاى الكاف وافق على اقامة المباراه بجمهور كبير  زى ماقرينا,cairo-egypt,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,59,62,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",الخاص مهمل تماماً,1,6,29,54,ar
"بلومبرغ  يبدو أن لقاح فايزر يمنع إصابة الغالبية العظمى من المستفيدين في إسرائيل بالعدوى ، مما يوفر أول مؤشر حقيقي في العالم على أن التطعيم سيحد من إنتقال فيروس كورونا",unknown,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,60,62,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر","London, England",1,6,30,55,ar
حلوة كلمة المفلس,Beirut ,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,61,63,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,62,64,ar
لقاح كوفيد19 متاح لجميع موظفي و متقاعدي أرامكوالسعودية و أفراد عائلاتهم الذين تبلغ أعمارهم 18 عامًا فأكثرسيتم تحديد المو,KSA,0,0,6,10,ar
"بلومبرغ  يبدو أن لقاح فايزر يمنع إصابة الغالبية العظمى من المستفيدين في إسرائيل بالعدوى ، مما يوفر أول مؤشر حقيقي في العالم على أن التطعيم سيحد من إنتقال فيروس كورونا",unknown,0,0,0,0,ar
ربنا يستر  على بعثة النادى الاهلى ويرجعوا سالمين ازاى الكاف وافق على اقامة المباراه بجمهور كبير  زى ماقرينا,"Cairo , Egypt",0,0,1,0,ar
فلسطين تسجل 1564 إصابة جديدة بفيروس كوروناللتفاصيل نتصدرالمشهدcovid19,دولة الإمارات - أبوظبي,0,0,0,0,ar
وقفة وإضاءة شموع لأهالي ضحايا انفجار المرفأ سنفضحكم في مؤتمر صحافيlbcinews,Adma-Lebanon,0,0,0,0,ar
فلسطين تسجل 1564 إصابة جديدة بفيروس كوروناللتفاصيل نتصدرالمشهدcovid19,unknown,0,0,1,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",السعوديه,1,6,31,55,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,63,66,ar
مقارنة بين كورونا  و سارس و ميرس في بدايات الجائحة خطورة كورونا الحالي هو عدم ظهور الاعراض احيانا  و سهولة الأنتقال  لل,"Dubai, United Arab Emirates",0,1,1,0,ar
وقفة وإضاءة شموع لأهالي ضحايا انفجار المرفأ سنفضحكم في مؤتمر صحافيlbcinews,unknown,0,0,1,1,ar
وقفة وإضاءة شموع لأهالي ضحايا انفجار المرفأ سنفضحكم في مؤتمر صحافيlbcinews,unknown,0,0,2,2,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,64,66,ar
وقفة وإضاءة شموع لأهالي ضحايا انفجار المرفأ سنفضحكم في مؤتمر صحافيlbcinews,unknown,0,0,2,2,ar
فريق من المنطقة الثالثة بالتعاون مع مكتب الخدمات والصحة في حركة امل  أثناء إجراء فحوصات لمخالطين بعض المصابين بفيروس covid19  في بلدتي شحور ودبعالمفوضيةجبلعامل خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحي,لبنان,0,0,0,0,ar
الراجل ده عبيط أوي,ترعة المفهومية,0,0,0,0,ar
افتتاح مركز اللقاح في مستشفى بعلبك الحكومي واللقاح في الهرمل رهن زيادة التسجيل,"Lebanon, Bekaa",0,0,0,0,ar
هذه أوّل خطوة للقاضي البيطار,unknown,0,0,1,2,ar
الرئاسة التركية أردوغان يجري اتصالا مع روحاني ويرى فرصة بين إيران والولايات المتحدة بعد البيانات الأخيرة بخصوص العقوبات,Lebanon,0,0,0,0,ar
