full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,غزة,0,0,0,0,ar
بوابةالوفد فيديو عوض تاج الدين لا يوجد لقاح محدد لعلاج كورونا,"القاهرة, مصر",0,0,0,0,ar
إلى السيد هاشم هاشم نرجو منكم إصدار قرار التمديد لإعلان نفط نحن لم نطلب المعجزات بل ابسط حقوقنا كون نحن خريجين شهر ١٢ لكن بس,دولة الكويت,0,0,1,0,ar
نداء إلى اللجنةالعليا من الموظفين العُمانيين العاملين في الإمارات يطالبون بتسهيل عبورهم من المراكز الحدودية مع الاكتفاء بفحص,unknown,2,21,58,151,ar
نطالبتمديداعلانالنفط5الاخوه المسئولين في وزارة النفطوالسيد هاشم الهاشم الرئيس التنفيذي لمؤسسة البتروليجب تمديد ال,دولة الكويت,0,0,1,0,ar
المتحدث باسم الكرملين حول التقارير المتعلقة بتسليم لقاحات روسية ضد كورونا إلى سوريا موسكو تدعم دمشق دائمًا,unknown,0,0,1,2,ar
هبوط مبشر جدًا في منحنى الإصابات العالمي بفيروس كورونا والحمد لله  خلي أرضك حية إذا جاه الغيث تزهر نحن على يقين بأنن,unknown,1,15,57,73,ar
كورونا ارتبط وعنده سلالات وعائله وانت باقي سنقل يا منطفئ ياعديم الشغف,فوق النخل,0,0,0,0,ar
خطة بايدن لمكافحة كورونا يلعب ماريو في المنتجع الرئاسي,#السعودية_العظمى ,0,1,6,6,ar
"فوائد أخذ لقاح كوفيد 19مَنْع فيروس كوفيد 19 من الانتشار والتناسُخ، وهما العمليتان اللتان تسمحان له بتكوين طفرة قد تك",unknown,0,0,15,6,ar
"لا منحه أميريه ، ولا إسقاط قروض ، ولا تأجيل الاقساط ، ولا سفر والكورونا عافس حياتنا  ومهددينا بالحظر ، والدوام بعد اسبوع",unknown,0,0,1,0,ar
مقال في جريدة الاندبندنت يتحدث عن ٣ دراسات بتواريخها يظهر وفاة  شخص من كل ١٠ متعافين من كورونا خلال اشهر بسيطة بسبب مضاعفات,kuwait,0,0,5,5,ar
لنِرجَع على شغلنا بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,0,0,15,11,ar
"مثال لتعامل الدول مع مواطنيها ،   اللهم احفظ بلادنا وحكومته الإنسانية","الرياض, المملكة العربية السعودية",0,0,0,0,ar
43 وفاة و1685 إصابة كورونا جديدة في لبنان خلال 24 ساعةلنخلص من هالازمة ضروري ناخد اللقاحاللقاحواجب,unknown,1,4,29,28,ar
أزمة كورونا هي ليست أزمة صحية فقط والتعامل معها على هذا الأساس تعامل قاصرفالنجاح في إدارة الملف الصحي لو تحقق مع خسا,Kuwait,5,1,33,23,ar
المغرب كوفيد19توسيع الاستفادة من عملية التلقيح الوطنية لتشمل المواطنات والمواطنين ما بين 60 و64 سنة والحاملين لأمراض مزمنةmaroc morocco marruecos covid19 coronavirus,Casablanca-Bruxelles ,0,0,0,0,ar
سمو محافظ المجمعة الأمير عبدالرحمن بن عبدالله بن فيصل يزور مركز اللقاحات كورونا كوفيد19 والمقام بالمدينة الجامعية بالمجمع,المجمعة,1,1,3,3,ar
هبوط مبشر جدًا في منحنى الإصابات العالمي بفيروس كورونا والحمد لله  خلي أرضك حية إذا جاه الغيث تزهر نحن على يقين بأنن,المملكة العربية السعودية,1,15,58,73,ar
انتباه ايها المواطن  خليك من البنان راهم زادوا في الزيت  فجأة ومن دون سابق إنذار أو حتى إعلان من وزارة التجارة وفي ظل ج,Anywhere ,3,4,10,66,ar
يجب أن يكون لقاح كوفيد19 شاملاً للجميعلنكن واضحين إن حماية البلدان الثرية وحدها لن يتيح عودة الحياة إلى طبيعتها و,unknown,0,6,126,38,ar
"طلب كريستيان إستروزي رئيس بلدية نيس الفرنسية من السياح   عدم القدوم إلى المدينة، إثر الارتفاع الحاد في","Dammam, Saudi Arabia",0,0,3,0,ar
"شكراً للأصدقاء ، و شكراً لصديقي ، هذا الإنسان العظيم ، ف رغم إنخفاض الأقتصادات العالمية ، رغم الفقر الذي أتعب المحتاجين ، رغم ظروف الحياة القاسية ، و رغم التحديات المؤلمة المستمرة ،رغم الأمراض و رغم كورونا ، صديقي يخرج كل يوم فجراً ، ليجعل هذا الكوكب يبتسم ويزيل الأوباء",انت إذا تقراني .,0,0,0,0,ar
نطالبتمديداعلانالنفط5الاخوه المسئولين في وزارة النفطوالسيد هاشم الهاشم الرئيس التنفيذي لمؤسسة البتروليجب تمديد,unknown,0,0,1,0,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاحواجب",unknown,0,0,15,5,ar
كفرساعة ابل مقاس 44ملم مع زجاج امامي شفاف من شركة يونيكاميرهالناصرتخلعمشعل صفرتعاملمعتركيا كورونا وفربجيبك متضرريالجامعهالعربيه3 مقاطعهالمنتجاتالفرنسيه117 ديربيالغضب لوكاكو توكلنا17مليونمستخدمakyasak,"تبوك, المملكة العربية السعودية",0,0,0,0,ar
طيرانالإمارات تشغل أول رحلة تخدمها فرق ملقحة بالكامل ضد كورونا طيران,Saudi Arabia,0,0,0,0,ar
هبوط مبشر جدًا في منحنى الإصابات العالمي بفيروس كورونا والحمد لله  خلي أرضك حية إذا جاه الغيث تزهر نحن على يقين بأنن,"الرياض, المملكة العربية السعود",1,15,59,73,ar
صور من مركز لقاحات كورونا في مقر المدينة الجامعية للطالبات في جامعةالملكسعود,"الرياض, المملكة العربية السعودية",0,0,1,3,ar
مسعفو فرقة سحمر أثناء تعقيم منزل أحد المتعافين من الإصابة بفيروس covid19  في البلدةمفوضيةالجنوب خدمتكمرسالتنا,unknown,1,0,4,10,ar
السوق76 السوق77 سببًا للظروف الراهنة الي حاصلة ذي الفترة وتـباعد بسبب كورونا وحرصًا على سلامة المُتسابقين واحتـرام,المملكة العربية السعودية,3,16,18,81,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
أين أنت ي نزاهة لماذا لاتنظرينا في وضعنا ونحن في جائحة كورونا دوام يومي وظلم يومي وتجاهل يومي وعمل يومي برغم من انه نس,unknown,0,0,2,1,ar
"تواصل رائع مع أعضاء المجتمع الباكستاني في القاهرة ، السفراء الحقيقيون لباكستان الذين عملوا كأعمدة لمجتمعهم ، وخاصة خلال جائحة  covid19","Giza, Egypt",0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,unknown,0,0,2,0,ar
بحول الله ؛ من بعد بكره علينا حق     ناخذ لقاحك يا كورونا سجل يا تلحق يا ما تلحق    إعمل بالاسباب يا أخينا الحمد لل,"مكة المكرمة, المملكة العربية السعودية",0,0,1,2,ar
كورونا لحكتنا و حقوقنا بعدها بعيدة عناشوكت الدولة تباوع للخريج؟؟مهندسو اجور و عقود وزارة الكهرباء يطالبون بحقهم بالمل,unknown,4,0,53,9,ar
"وحول الفيروس المتحور، قال محافظة إن الزيادة في أعداد الإصابات كان سببها الفيروس المتحور، مشيرا إلى أن معظم الإصابات في العاصمة عمان قد تصل لنسبة 7080 بالفيروس المتحور، نظرا لسرعة انتشاره الواصلة إلى 50 من فيروس كورونا الأصليلقاء على رؤيا",unknown,0,0,0,0,ar
احمِ نفسك من الشائعات والأخبار المزيفة وليس فقط من فيروس كورونا,الرياض,0,0,26,10,ar
اشوف كورونا تسلم عليا من بعيد,"Al Madinah Al Munawwarah, Kingdom of Saudi Arabia",0,0,0,0,ar
الولاياتالمتحدة تسجل 71214 إصابة مؤكدة و2104 حالات وفاة بفيروس كورونا,Saudi Arabia,0,0,0,0,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاح",unknown,0,0,6,6,ar
لقاح كورونا هو الوسيلة الوحيدة الآمنه,unknown,0,0,2,8,ar
مأساة في إسبانيا وفاة 761 من كبار السن بعد تطعيمهم بلقاح كورونا  العرب والعالم  الوطن,"Amman, ",0,1,7,9,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
عاجل أظهرت المسحة الخاصة بفايروس كورونا التي أجريت مساء أمس سلامة جميع اللاعبين والطواقم الادارية والفنية والطبية,اعشق ترابك يا مكة 🕋,0,22,63,289,ar
نطالبتمديداعلانالنفط5الاخوه المسئولين في وزارة النفطوالسيد هاشم الهاشم الرئيس التنفيذي لمؤسسة البتروليجب تمديد الإعل,فــ قلبك 🖤,0,0,12,11,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاحواجب",unknown,0,0,0,0,ar
"أسامة الشاهين نلاحظ عدم استقرار القرار الحكومي في شأن التعاطي مع تداعيات كورونا ، ومن ذلك الإلزام بالحجر الفندقي ولذلك توجهت بأسئ",unknown,0,0,11,11,ar
مسعفو فرقة سحمر أثناء تعقيم منزل أحد المتعافين من الإصابة بفيروس covid19  في البلدةمفوضيةالجنوب خدمتكمرسالتنا,unknown,1,0,5,11,ar
"الدكتوررجبالعويسي، يكتباللجنة العليا لــكوفيد 19 نموذج صنع عُمان القوةهيثمبنطارققابوسب",unknown,0,5,37,45,ar
غزو الكويت  وجائحة كورونا فرصتان ذهبيتان لتعديل التركيبةالسكانية لم تستغل الأولى  ولن تستغل الثانية,unknown,0,0,0,0,ar
هبوط مبشر جدًا في منحنى الإصابات العالمي بفيروس كورونا والحمد لله  خلي أرضك حية إذا جاه الغيث تزهر نحن على يقين بأنن,المملكة العربية السعودية,1,16,60,74,ar
من امس وانا اتواصل معكم ولا يوجد اي تجاوب يامعالي الوزير وانا امام الله وأمام المسؤولين احملك اي مضاعفات يتسبب فيها لقاح كورو,البحرين ,0,2,2,0,ar
وزارةالدفاع تُجهز 16 مركزًا وعيادة لتطعيم منسوبيها ضد كورونا  السعودية,درب السعادة,0,0,1,0,ar
كما هزت العالم كورونا أرعبت المقاطعة الصليبيين مقاطعهالمنتجاتالفرنسيه117,في الجهه الشرقيه من الطابونه😜,3,1,107,129,ar
التطعيم باللقاح ضد فايروس كورونا يجعل الجسم أكثر قدرة على مقاومته وتكوين المناعة ضده اللقاحواجب,unknown,0,0,0,0,ar
معلومات عن لقاح سبوتنيكاللقاحواجب,unknown,0,0,3,2,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,unknown,0,0,2,0,ar
معلومات عن لقاح فايزراللقاحواجب,unknown,0,0,2,2,ar
إصابة أحمد مكى بفيروس كوروناوالغريب في الأمر ان الخرفان شمتانين في اصابته بالكورونادعواتكم ياجماعه بالشفاء العاجل للفنان,Canada,3,36,10,114,ar
اللقاح سبيلنا للانتصار على وباء كورونااللقاحواجب,unknown,0,0,5,3,ar
متى ينزعُ الناس كمامة كورونا فاوتشي يحدد تاريخاً صادماً,World,0,0,0,0,ar
وصلت دفعة جديدة من لقاحاتفيروسكورونا إلى مطار دبي الدولي يوم الأحد 21 فبراير حيث تجاوزت الإمارات نسبة 50٪ من التلقيح لسكان,unknown,0,0,51,17,ar
الاردن علامة تقلق النساء المصابات بسرطان الثدي من لقاح كورونا menafn  alghad newspaper عمانالغد  كشفت طبيبة أميركية متخصصة في سرطان الثدي أن الناجيات من هذا المرض يعانين من أثر جانبي لتل,unknown,0,0,0,0,ar
الاردن ارتفاع وفيات كورونا بين الأطباء إلى 35 menafn  alghad newspaper عمان نعت نقابة الأطباء الدكتور فايز عطا الرفاعي الذي انتقل الى رحمته تعالى متأثرا بإصابته بفيروس كورونا,unknown,0,0,0,0,ar
واضح ان محمد معيط كان جامعهم كلهم واديهم الفايروس,عند البريبئ اللى هناك دة,0,0,0,0,ar
اللقاح هو الضمان الوحيد لحماية أسرتي من الموت بوباء كورونااللقاحواجب,unknown,0,0,3,1,ar
إلى السيد هاشم هاشم نرجو منكم إصدار قرار التمديد لإعلان نفط نحن لم نطلب المعجزات بل ابسط حقوقنا كون نحن خريجين شهر ١٢,unknown,0,2,2,1,ar
"الاردن 11 وفاة وقرابة 4 آلاف إصابة بكورونا والإيجابية 156 menafn  alghad newspaper عمان  الغد  سُجِّل الأردن اليوم الأحد 11 وفاة و3917 حالة إصابة بفيروس كورونا المستجدّ، توزّعت كما يلي",unknown,0,0,0,0,ar
ياناس اشمعنا حجز فندقي ليش مايصير حجز منزلي,Kuwait,0,0,1,1,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
كورونا مسكنا بالدور كل بعد شهرين وحده فينا,Kingdom of Saudi Arabia,0,0,0,0,ar
سحبت نفس عمييييق من السيجارة وانا بقرأ هالخبر,"Alberta, Canada",0,0,0,0,ar
متى يجي ذاك اليوم اللي تطلع فيه بالكمام وتقول اوه ع بالي بعده كورونا عباره ضحوك,unknown,0,2,1,2,ar
"عنبعدياامالقري فقدنا الكثير  من اهالينا بcovid19 والان covid20 اخطر من ذي قبل، الجامعات من اخطر اماكن التجمعات اعداد الطلاب كبيره والقاعات غير مهيئه،الدوله اغلقت الاماكن العامه بسبب خطورة الموقف فنرجوا الرأفة بنا وتفادي المخاطره بصحتنا واهالينا، طالب مصاب يهوي بالعشرات",unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,غزة,0,0,0,0,ar
اللقاحواجب كبوا اللقاح البريطاني في مجاري الصرف الصحي و اشتروا لقاحات عالمية موثوق فيها هذا مستقبل البلد هذا مستقبل امة هذا شيء عظيم جدا هذه لا تاتي كل مائة سنه الا مره لذلك يستحق ان نشتري افضل لقاح لا يكلف اكثر من نصف مليار دولار و مستقبلنا يستحق ان ننفق اكثر من هذا المبلغ,"Härnösand, Sverige",0,0,0,0,ar
كل 28 جرام من بذور الكتان تعطيالسعرات الحرارية 152الألياف 78 جمالبروتين 52 جمدهون أوميجا 3 65 جمدهون أوميجا 617,"الرياض, الخرج,السيح,",0,0,2,4,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاح","Seddiqine, Lebanon ",0,0,7,7,ar
سمو محافظ المجمعة الأمير عبدالرحمن بن عبدالله بن فيصل يزور مركز اللقاحات كورونا كوفيد19 والمقام بالمدينة الجامعية بالمجمع,unknown,1,1,4,3,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,فلسطين,0,0,0,0,ar
اللقاح هو الضمان الوحيد لحماية أسرتي من الموت بوباء كورونااللقاحواجب,unknown,0,0,3,1,ar
المغرب توسيع الاستفادة من عملية التلقيح الوطنية ضد فيروس كورونا لتشمل المواطنات والمواطنين ما بين 60 و64 سنة والحاملي,Rabat ,2,1,4,10,ar
الولاياتالمتحدة تسجل 71214 إصابة مؤكدة و2104 حالات وفاة بفيروس كورونا,الرياض,0,0,1,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,فلسطين,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,فلسطين,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,فلسطين,0,0,0,0,ar
مع النشمي ابن الأردن الأستاذ  معد النشرة وانتظرونا في نشرة مفصلة الساعة ١١م بتوقيت السعودية ١٢منتصف الليل بتوقيت الإمارات و حديث عن تصريحات مستشار الأمن القومي ان ادارة بايدن ترى ان الدبلوماسية هي الحل مع إيران كما وأعاد تحميل الصين مسؤولية انتشار كورونا الشرق,Dubai_ United arab emirates,0,0,0,0,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاح",unknown,0,0,8,9,ar
"استراليا تصدر طابع بريدي جديد لتكريم الاطباء والممرضين لجهودهم في مكافحة وباء كورونا ، أولهم طبيبة مسلمة",unknown,5,9,87,130,ar
whosaveegyptianstudentsازاي اللي عنده كورونا وعاوز يمتحن الجامعة ممكن تفصله فين الإجراءات الاحترازية إستغاثةطلاب,unknown,0,0,1,0,ar
دخلنا بالمرحلة الثانية من كورونا    عشنة مرحلة وتردون نفوت  بالمرحلة ثانية عايشين بفلم hunger games,unknown,0,0,36,4,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,unknown,0,0,3,1,ar
نداء إلى اللجنةالعليا من الموظفين العُمانيين العاملين في الإمارات يطالبون بتسهيل عبورهم من المراكز الحدودية مع الاكتفاء بفحص,unknown,2,21,59,154,ar
والله مدري الدنيا صايره غريبه وفكك عشان كورونا ولا انا صاير نفسيه وماستانس,"Riyadh, Kingdom of Saudi Arabia",0,0,0,0,ar
اللقاح هو المرحلة المهمة لمحاربة وباء كورونا والقضاء عليه وعلينا جميعاً ان نكون جاهزين ومتحضرين لمواجهة الفايروس بأجسام قوية ذات مناعة عاليةاللقاحواجب,unknown,0,0,0,0,ar
مع النشمي ابن الأردن الأستاذ  معد النشرة وانتظرونا في نشرة مفصلة الساعة ١١م بتوقيت السعودية ١٢منتصف الليل بت,Iraq,0,0,1,0,ar
بيي كان صرلو ٣ سنين بلا شغلاجاه تركيبة ستلايت يطلع من وراها ٧٥ ألف و قبلللأسف راح بيي عند الجماعة و لقط كورونا و الوال,"Beirut, Lebanon",1,5,11,22,ar
نطالبتمديداعلانالنفط5         نطالب نحن الطلبه في كلية الدراسات التكنلوجيه بتمديد فترة إعلان توظيف شركة نفط الكويت,unknown,0,0,1,1,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,unknown,0,0,2,1,ar
فيديو رسالة أول سيدة بعد أخذها لقاح كورونا في مركز اللقاحات بمحافظة محايلعسيررصد احمد صوره عكاظ انت,unknown,0,4,61,71,ar
تطبيقصحتي حماية للجميع سجل الان لأخذ لقاح كورونا السعودية نجرانالآن كورونا فيروسكورونا الصحة عاجل لقاحكورونا,المملكة العربية السعودية,0,0,90,4,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,unknown,0,0,3,2,ar
"محافظة أنا مع الاستمرار في فتح القطاعات والإغلاق ليس حلامحافظة الأردن لديه مناعة مجتمعية بنسبة تصل إلى 50، بسبب تسجيل ح",unknown,1,1,1,2,ar
خرجوهم قبل رمضان مبادرة لحملة أخي معتقل تطالب بالافراج عن سجناء الرأي والغارمات والأكثر عرضة للإصابة بـ كوروناا,egypt - cairo,0,1,21,28,ar
خلصنا من سالفة تم إصابتي بفايروس كورونا إلى تم أخذ الجرعة الأولى من لقاح كورونا,unknown,0,0,1,0,ar
نطالبتمديداعلانالنفط5الاخوه المسئولين في وزارة النفطوالسيد هاشم الهاشم الرئيس التنفيذي لمؤسسة البتروليجب تمديد ال,unknown,0,0,2,2,ar
الدفاع المدني في جمعية الرسالة للإسعاف الصحي يشارك ب ٧٥ قائد وعنصر اختصاص تمريض في الدورة التدريبية التي نظمتها وزارة الص,unknown,0,0,3,1,ar
أخذ اللقاح هو الأمل الوحيد لمحاصرة فايروس كورونا والقضاء عليه والحد من انتشاره لضمان العودة للحياة الطبيعية المعتادة قبل الوباءاللقاحواجب,unknown,0,0,0,0,ar
قرارات غير مدروسةخطط فاشلةالمطعوم ناس اه وناس لا حسب واسطتكانهيار اقتصادينظام جباية في مخالفات كوروناتطبيق اوامر دفا,"Amman, Hashemite Kingdom of Jordan",4,6,3,28,ar
يا ريس احنا حياتنا وحياة اهالينا وجيرانا وصحابنا ف خطر انا واحد جاله كورونا ف الضيف وشفت الموت بعنيه دقت طعمه حرفيا رو,unknown,0,0,3,1,ar
لجنة التنمية الاجتماعية بـ اليمامة تقوم بمبادرة مجتمعية بالتعاون مع وزارة الصحة ومستشفى الملك خالد بالخرجبتقديمها مقر اللجن,unknown,0,0,7,3,ar
فيديوالدفاعضمن إطار التوسع في تنفيذ الحملة الوطنية للتطعيم ضد فايروس كورونا covid19 جهزت وزارة الدفاع 16 مركز وعيادة موز,الرياض,1,7,108,123,ar
"استقرار منحنى إصابات كورونا يؤكد أن الامتثال للتعليمات الاحترازية، هو أهم سلاح في مواجهة فايروسكورونا وفي مواجهة تص",unknown,0,1,7,6,ar
فيديوالدفاعضمن إطار التوسع في تنفيذ الحملة الوطنية للتطعيم ضد فايروس كورونا covid19 جهزت وزارة الدفاع 16 مركز وعيادة موز,unknown,1,7,109,123,ar
ياليت يطلع لقاح ضد التفكير الزايد,unknown,0,0,0,0,ar
دحلان,"Cairo, Egypt, Medieval Ages",0,0,0,0,ar
حالت كورونا بيننا وبين اختتام مشوارنا الدراسي لذلك قررت شركة نفط الكويت فتح اعلان نستوفي شروطه الكامله ولكن لانستطيع ا,unknown,0,0,1,1,ar
التطعيم باللقاح ضد فايروس كورونا يجعل الجسم أكثر قدرة على مقاومته وتكوين المناعة ضده اللقاحواجب,unknown,0,0,4,4,ar
معلومات عن لقاح سينوفارماللقاحواجب,unknown,0,0,2,1,ar
فيديوواس تدشين 4 مراكز للتطعيم ضد فيروس كورونا بمنطقة الحدودالشماليةواسعام,المملكة العربية السعودية,0,4,23,28,ar
معلومات عن لقاح موديرنااللقاحواجب,unknown,0,0,3,1,ar
صفرتعاملمعتركيا  بيليرين لوكاكوa iuvms الانتر بنتالسعوديهتناشدكم اختراقكلوبهاوس الكاتبهمريمالسليمان وفربجيبك برشلونة كورونا  ميلانديربيالغضب كــود كــوبــون الــخصــم     acykbلــينـك الــشراء مـن فــــوغــا كـلوســيــت,unknown,0,0,0,0,ar
whosaveegyptianstudentsازاي اللي عنده كورونا وعاوز يمتحن الجامعة ممكن تفصله فين الإجراءات الاحترازية إستغاثةطلاب,unknown,0,0,2,1,ar
معلومات عن لقاح فايزراللقاحواجب,unknown,0,0,2,1,ar
"عاجل وزارة الصحة تعلن عن وفاة حالتين قائمتين لفيروس كورونا لمواطنيْن يبلغان من العمر 83 عاماً، و 81 عاماً، وتعرب الوزارة عن خا",unknown,0,0,1,0,ar
احلى خبر صادفني اليوم ايران تغلق حدودها و٧ منافذ بحجه كورونا البريطانيه العراق طلع بريطانيمساءكم حب وامانجعفرالتميمي الموتالقادممنالشرق,unknown,0,0,0,0,ar
المغرب توسيع الاستفادة من عملية التلقيح الوطنية ضد فيروس كورونا لتشمل المواطنات والمواطنين ما بين 60 و64 سنة والحاملي,"Paris, France",2,1,5,10,ar
نطالبتمديداعلانالنفط5         نطالب نحن الطلبه في كلية الدراسات التكنلوجيه بتمديد فترة إعلان توظيف شركة نفط الكويت,دولة الكويت,0,0,2,2,ar
معلومات عن لقاح سبوتنيكاللقاحواجب,unknown,0,0,4,1,ar
ابوي مطعّم وامي نابذته ومحد يقرب منه مافهمت هذا كورونا ولاتطعيمه ولا امي تدور الزله؟,Kuwait,0,0,0,0,ar
"محافظة أنا مع الاستمرار في فتح القطاعات والإغلاق ليس حلامحافظة الأردن لديه مناعة مجتمعية بنسبة تصل إلى 50، بسبب تسجيل ح",unknown,1,1,2,3,ar
يعلن نادي هندسة النظم عن برنامج الملتقى التعريفي الافتراضيمن منطلق صعوبة تنفيذ الرحلات الميدانية إلى الشركات خلال فترة,Kingdom of Saudi Arabia,0,1,1,1,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
"اصاب كورونا ١٢٠ مليون بشري توفي منهم ما يقارب ٢ ،٢ مليون شخص تم تلقيح ١٧٥ مليون بشري عدد الوفيات بينهم صفر خافواالله",unknown,0,0,25,14,ar
حرام عليكم حياتنا في خطر أختي عندها كورونا لو عديت حد مليش دعوه عشان مش هشيل سنة عشان خاطر الوزارة و منكم للهإستغاثة,مصر,0,0,6,5,ar
الله يسامح الادارة اللي رضخت لضغوط شرفية وجماهيرية اللي فرتكت واخلت بتوازن الفريق من تفريط بحمد المنصور وعوض خميس واحمد موسى وجوليانو وفيتوريا الفريق ما كان يحتاج تغييرات وطبعا ظروف جائحة كورونا وغيرها من الظروف القاسية التي عصفت بالفريق على العموم معاك يالعالمي,unknown,0,0,0,0,ar
الشيعة بنوا كعبة لهم في كربلاءلم يبني أحد كعبة لمنافسة مكة في التاريخ إلا ثلاث إبرهة الحبشي والقرامطة الشيعة الإسماعيلية وا,unknown,0,1,9,3,ar
يا ريس احنا حياتنا وحياة اهالينا وجيرانا وصحابنا ف خطر انا واحد جاله كورونا ف الضيف وشفت الموت بعنيه دقت طعمه حرفيا رو,unknown,0,0,4,2,ar
نطالبتمديداعلانالنفط5         نطالب نحن الطلبه في كلية الدراسات التكنلوجيه بتمديد فترة إعلان توظيف شركة نفط الكويت وذلك بسبب تأخر تخريجنا بسبب جائحة كورونا الذي كان من المفترض تخريجنا في شهر ١٢  نطالبتمديدإعلانالنفط5,دولة الكويت,0,0,0,0,ar
اللهم يا مغير الحول والاحوال غير حال وطني الكويت الي احسن الاحوال ما تضيق الا بتنفرج اخوي بو خالد,دولة الكويت,0,2,2,3,ar
موقفه خدماته لها اربع سنوات سجن وطلع بمهله وكفاله حضوريه قبل جائحه كورونا قام بسداد جزء من دينه بدين أخر فالدال على الخير كفا,unknown,0,1,24,1,ar
عاجل  إصابة الدكتورة نفين جامع وزيرة الصناعة والتجارة بـ فيروس كورونا,unknown,0,0,0,0,ar
كورونا,unknown,0,0,0,0,ar
لجنة التنمية الاجتماعية بـ اليمامة تقوم بمبادرة مجتمعية بالتعاون مع وزارة الصحة ومستشفى الملك خالد بالخرجبتقديمها مقر اللجن,"الرياض, الخرج,السيح,",0,0,8,3,ar
اللقاح هو المرحلة المهمة لمحاربة وباء كورونا والقضاء عليه وعلينا جميعاً ان نكون جاهزين ومتحضرين لمواجهة الفايروس بأجسام قوية ذات مناعة عاليةاللقاحواجب,unknown,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
ماهي فوائد لقاح كورونا ؟التفاصيل في التصميم المرفقتعليمجازان,"جازان, المملكة العربية السعودي",0,1,88,51,ar
